"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","WASHINGTON","US-WA","NA","NA","2014-08-24","2014-08-30","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","DELAWARE","US-DE","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","WYOMING","US-WY","NA","NA","2006-09-24","2006-09-30","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","WYOMING","US-WY","NA","NA","2007-07-15","2007-07-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","WYOMING","US-WY","NA","NA","2007-08-26","2007-09-01","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","WYOMING","US-WY","NA","NA","2014-08-17","2014-08-23","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","INDIANA","US-IN","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","INDIANA","US-IN","NA","NA","2017-09-17","2017-09-23","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ILLINOIS","US-IL","NA","NA","2012-07-29","2012-08-04","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ILLINOIS","US-IL","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2010-08-15","2010-08-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2012-07-22","2012-07-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2012-09-16","2012-09-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2012-10-07","2012-10-13","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MISSISSIPPI","US-MS","NA","NA","2016-10-16","2016-10-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW YORK","US-NY","NA","NA","2017-10-08","2017-10-14","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW YORK","US-NY","NA","NA","2017-10-15","2017-10-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2009-08-23","2009-08-29","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2010-08-01","2010-08-07","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2013-09-29","2013-10-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEBRASKA","US-NE","NA","NA","2017-09-10","2017-09-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ARIZONA","US-AZ","NA","NA","2007-09-09","2007-09-15","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ARIZONA","US-AZ","NA","NA","2014-09-28","2014-10-04","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2007-09-09","2007-09-15","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2012-08-19","2012-08-25","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2013-07-28","2013-08-03","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MINNESOTA","US-MN","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ARKANSAS","US-AR","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2008-08-31","2008-09-06","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","5"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2012-08-12","2012-08-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2013-10-20","2013-10-26","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2014-09-07","2014-09-13","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2015-08-23","2015-08-29","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MARYLAND","US-MD","NA","NA","2015-09-13","2015-09-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","NEW MEXICO","US-NM","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH CAROLINA","US-SC","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","4"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH CAROLINA","US-SC","NA","NA","2012-09-23","2012-09-29","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MASSACHUSETTS","US-MA","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","RHODE ISLAND","US-RI","NA","NA","2017-09-24","2017-09-30","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2006-09-10","2006-09-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2012-09-16","2012-09-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","COLORADO","US-CO","NA","NA","2013-10-06","2013-10-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2006-07-30","2006-08-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2007-07-15","2007-07-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2012-08-05","2012-08-11","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2012-09-02","2012-09-08","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","SOUTH DAKOTA","US-SD","NA","NA","2016-09-11","2016-09-17","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-08-13","2017-08-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-08-20","2017-08-26","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-08-27","2017-09-02","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-09-17","2017-09-23","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-10-08","2017-10-14","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TENNESSEE","US-TN","NA","NA","2017-11-05","2017-11-11","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","KANSAS","US-KS","NA","NA","2007-07-22","2007-07-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","KANSAS","US-KS","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","VIRGINIA","US-VA","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","7"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","ALABAMA","US-AL","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","OKLAHOMA","US-OK","NA","NA","2012-07-22","2012-07-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","OKLAHOMA","US-OK","NA","NA","2013-09-22","2013-09-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","OKLAHOMA","US-OK","NA","NA","2014-09-07","2014-09-13","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","OKLAHOMA","US-OK","NA","NA","2015-09-13","2015-09-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","FLORIDA","US-FL","NA","NA","2010-04-04","2010-04-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2012-08-12","2012-08-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-06-04","2017-06-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-06-25","2017-07-01","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-07-02","2017-07-08","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-07-16","2017-07-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-07-23","2017-07-29","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-07-30","2017-08-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-06","2017-08-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-13","2017-08-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-20","2017-08-26","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","6"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-08-27","2017-09-02","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","4"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-09-03","2017-09-09","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-09-10","2017-09-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-10-15","2017-10-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-10-22","2017-10-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-11-12","2017-11-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-12-03","2017-12-09","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","TEXAS","US-TX","NA","NA","2017-12-10","2017-12-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","MONTANA","US-MT","NA","NA","2007-09-09","2007-09-15","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","UTAH","US-UT","NA","NA","2006-08-06","2006-08-12","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2006-09-10","2006-09-16","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2006-09-17","2006-09-23","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-07-22","2007-07-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-08-12","2007-08-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","5"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-08-19","2007-08-25","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","5"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-08-26","2007-09-01","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","4"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-09-02","2007-09-08","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","4"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-09-09","2007-09-15","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-09-16","2007-09-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","4"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-09-23","2007-09-29","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","5"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-09-30","2007-10-06","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-10-07","2007-10-13","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","3"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-10-14","2007-10-20","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-10-28","2007-11-03","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-11-04","2007-11-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2007-11-11","2007-11-17","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-07-20","2008-07-26","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"West Nile fever without encephalitis","397420007","West Nile virus","11082","0","UNITED STATES OF AMERICA","US","CALIFORNIA","US-CA","NA","NA","2008-07-27","2008-08-02","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
